time_of_day,hour,road_length_a_m,road_length_b_m,lane_a_car,lane_a_motorcycle,lane_a_bus,lane_a_truck,lane_a_total,lane_b_car,lane_b_motorcycle,lane_b_bus,lane_b_truck,lane_b_total,winner,gate_open_seconds
20:07,20,50,500,2,1,0,0,3,0,0,2,1,3,B,9.5
01:01,1,50,100,0,0,2,0,2,2,3,0,1,6,B,12.0
18:17,18,50,100,5,3,1,1,10,1,1,1,0,3,A,21.0
02:24,2,50,150,1,2,0,2,5,1,0,1,0,2,A,12.0
17:18,17,500,300,6,2,2,0,10,5,0,0,2,7,A,21.0
07:49,7,150,50,6,1,0,1,8,2,3,2,1,8,A,17.0
05:23,5,150,100,2,2,2,2,8,2,0,2,2,6,A,20.0
05:34,5,500,100,0,3,1,1,5,2,1,2,1,6,A,11.0
01:14,1,50,150,1,2,0,0,3,2,2,0,2,6,B,14.0
15:25,15,500,200,1,2,0,0,3,4,2,2,2,10,B,24.0
13:57,13,300,200,2,1,0,2,5,3,0,0,0,3,A,12.5
04:40,4,100,500,1,0,1,1,3,2,3,2,1,8,B,18.0
17:55,17,50,500,5,0,2,2,9,6,2,2,1,11,B,24.5
03:18,3,200,100,1,0,2,2,5,1,1,2,0,4,A,15.0
20:19,20,500,300,4,1,0,1,6,1,0,2,1,4,A,13.0
15:01,15,50,150,2,1,0,0,3,4,0,0,2,6,B,15.0
15:52,15,50,300,1,1,2,1,5,4,1,1,2,8,B,19.5
19:27,19,100,300,6,1,2,1,10,3,2,1,2,8,A,23.0
14:07,14,100,100,0,2,0,2,4,4,1,2,0,7,B,15.5
00:04,0,500,500,0,1,0,0,1,1,0,2,0,3,B,8.0
08:42,8,200,100,4,1,2,2,9,4,3,0,1,8,A,22.5
13:12,13,50,50,3,2,1,1,7,3,0,2,2,7,B,19.0
20:06,20,50,200,2,0,0,0,2,1,3,0,1,5,B,10.0
05:17,5,200,100,0,3,2,0,5,0,0,0,0,0,A,10.5
05:26,5,200,200,0,3,0,0,3,1,0,1,1,3,B,8.5
14:18,14,200,500,4,3,0,0,7,2,1,0,2,5,B,12.5
23:34,23,50,500,1,0,0,2,3,1,1,0,2,4,B,10.5
02:54,2,100,50,2,0,2,0,4,1,0,2,0,3,A,10.0
18:38,18,50,300,0,3,2,2,7,4,2,1,0,7,A,17.5
21:45,21,150,100,2,3,0,2,7,2,3,1,0,6,A,15.5
00:29,0,300,300,0,0,2,0,2,2,2,0,1,5,B,10.5
02:56,2,100,150,1,1,1,2,5,2,2,2,2,8,B,20.0
16:00,16,500,300,2,0,0,1,3,0,0,2,2,4,B,13.0
04:17,4,150,300,0,2,0,2,4,2,2,2,1,7,B,16.5
08:57,8,50,50,5,3,1,0,9,0,2,0,2,4,A,17.5
08:10,8,500,200,4,3,2,0,9,0,0,2,0,2,A,18.5
17:02,17,150,300,4,1,1,0,6,0,2,1,0,3,A,12.5
11:13,11,500,100,0,2,2,1,5,4,1,0,0,5,A,12.5
05:56,5,200,50,0,2,1,2,5,2,1,1,0,4,A,13.0
22:06,22,200,50,1,1,0,1,3,1,2,0,0,3,A,7.0
00:42,0,100,200,1,2,0,1,4,1,3,2,2,8,B,19.5
10:01,10,50,150,1,2,0,0,3,4,3,1,2,10,B,22.5
10:27,10,300,300,0,3,2,0,5,2,0,2,1,5,B,13.5
00:33,0,300,500,2,1,1,1,5,0,2,2,1,5,B,12.5
21:54,21,50,500,2,2,2,1,7,2,3,2,1,8,B,18.0
17:08,17,100,200,5,3,2,2,12,1,2,1,2,6,A,27.5
00:19,0,150,100,1,2,1,1,5,1,1,2,1,5,B,13.0
23:10,23,500,50,1,2,0,0,3,2,2,0,0,4,A,5.0
04:01,4,50,100,1,0,1,1,3,2,1,2,2,7,B,18.5
12:31,12,200,100,1,0,0,1,2,1,1,2,2,6,B,16.5
